"year","category","birthyear","gender","name"
"2000","chemistry","1927","M","Alan MacDiarmid"
"2002","medicine","1927","M","Sydney Brenner"
"1984","medicine","1927","M","César Milstein"
"2002","economics","1927","M","Vernon Smith"
"1995","physics","1927","M","Martin Perl"
"1982","medicine","1927","M","John Vane"
"2000","physics","1928","M","Herbert Kroemer"
"1962","medicine","1928","M","James Watson"
"1990","chemistry","1928","M","Elias Corey"
"1986","peace","1928","M","Elie Wiesel"
"2008","chemistry","1928","M","Osamu Shimomura"
"2003","physics","1928","M","Alexei Abrikosov"
"1978","medicine","1928","M","Daniel Nathans"
"1973","physics","1929","M","Ivar Giaever"
"2000","medicine","1929","M","Eric Kandel"
"1994","peace","1929","M","Yasser Arafat"
"2003","medicine","1929","M","Paul Lauterbur"
"2013","physics","1929","M","Peter Higgs"
"1961","physics","1929","M","Rudolf Mössbauer"
"1990","physics","1929","M","Richard Taylor"
"1972","medicine","1929","M","Gerald Edelman"
"1969","physics","1929","M","Murray Gell-Mann"
"2002","literature","1929","M","Imre Kertész"
"1978","medicine","1929","M","Werner Arber"
"1986","chemistry","1929","M","John Polanyi"
"2005","chemistry","1930","M","Yves Chauvin"
"2000","physics","1930","M","Zhores Alferov"
"1992","economics","1930","M","Gary Becker"
"1992","literature","1930","M","Derek Walcott"
"2005","literature","1930","M","Harold Pinter"
"1994","economics","1930","M","Reinhard Selten"
"2005","economics","1930","M","Robert Aumann"
"2009","physics","1930","M","George Smith"
"1990","physics","1930","M","Jerome Friedman"
"1972","physics","1930","M","Leon Cooper"
"2013","chemistry","1930","M","Martin Karplus"
"1978","medicine","1931","M","Hamilton Smith"
"1984","peace","1931","M","Desmond Tutu"
"1990","peace","1931","M","Mikhail Gorbachev"
"2011","literature","1931","M","Tomas Tranströmer"
"1993","literature","1931","F","Toni Morrison"
"1980","physics","1931","M","James Cronin"
"2002","physics","1931","M","Riccardo Giacconi"
"2010","chemistry","1931","M","Richard Heck"
"1976","physics","1931","M","Burton Richter"
"2013","literature","1931","M","Alice Munro"
"1999","physics","1931","M","Martinus Veltman"
"1972","physics","1931","M","John Schrieffer"
"2008","medicine","1932","M","Luc Montagnier"
"1979","physics","1932","M","Sheldon Glashow"
"1986","chemistry","1932","M","Dudley Herschbach"
"2009","economics","1932","M","Oliver Williamson"
"1999","economics","1932","M","Robert Mundell"
"1980","chemistry","1932","M","Walter Gilbert"
"2013","physics","1932","M","François Englert"
"1988","physics","1932","M","Melvin Schwartz"
"2009","economics","1933","F","Elinor Ostrom"
"1995","chemistry","1933","M","Paul Crutzen"
"1979","physics","1933","M","Steven Weinberg"
"1986","physics","1933","M","Heinrich Rohrer"
"2006","economics","1933","M","Edmund Phelps"
"1978","physics","1933","M","Arno Penzias"
"1991","chemistry","1933","M","Richard Ernst"
"1998","economics","1933","M","Amartya Sen"
"1997","physics","1933","M","Claude Cohen-Tannoudji"
"2009","physics","1933","M","Charles Kao"
"1986","literature","1934","M","Wole Soyinka"
"2005","physics","1934","M","John Hall"
"2002","economics","1934","M","Daniel Kahneman"
"1982","medicine","1934","M","Bengt Samuelsson"
"1975","medicine","1934","M","Howard Temin"
"1984","physics","1934","M","Carlo Rubbia"
"1990","economics","1934","M","William Sharpe"
"2003","economics","1934","M","Clive Granger"
"2010","chemistry","1935","M","Ei-ichi Negishi"
"1989","medicine","1936","M","J. Bishop"
"1986","chemistry","1936","M","Yuan Lee"
"1999","medicine","1936","M","Günter Blobel"
"1996","economics","1936","M","James Mirrlees"
"2000","chemistry","1936","M","Alan Heeger"
"1978","physics","1936","M","Robert Wilson"
"2007","chemistry","1936","M","Gerhard Ertl"
"1998","medicine","1936","M","Ferid Murad"
"2000","chemistry","1936","M","Hideki Shirakawa"
"1976","physics","1936","M","Samuel Ting"
"1982","physics","1936","M","Kenneth Wilson"
"2007","medicine","1937","M","Mario Capecchi"
"1998","peace","1937","M","John Hume"
"2004","chemistry","1937","M","Avram Hershko"
"1981","chemistry","1937","M","Roald Hoffmann"
"1996","physics","1937","M","Robert Richardson"
"1988","chemistry","1937","M","Robert Huber"
"2000","economics","1937","M","Daniel McFadden"
"2008","peace","1937","M","Martti Ahtisaari"
"2001","peace","1938","M","Kofi Annan"
"2002","chemistry","1938","M","Kurt Wüthrich"
"2003","physics","1938","M","Anthony Leggett"
"2007","physics","1938","M","Albert Fert"
"1975","medicine","1938","M","David Baltimore"
"2013","economics","1939","M","Eugene Fama"
